Index,ID,Name,Alias,Is Discrete,Is Computing,Expression,Trans Expr,Inv Trans Expr,Change Expr,Zero Expr,Unit,Upper Limit,Lower Limit,Alarm 1,Alarm 2,Is Realtime,Is SOE,Initial,Tags,Description
1,1000001,源电压,,FALSE,FALSE,,,,,,kV,999999,-999999,,,TRUE,FALSE,0.0,,TotV
2,1000002,A相有功634,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsA
3,1000003,A相无功634,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsA
4,1000004,B相有功634,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsB
5,1000005,B相无功634,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsB
6,1000006,C相有功634,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsC
7,1000007,C相无功634,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsC
8,1000008,B相有功645,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsB
9,1000009,B相无功645,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsB
10,1000010,B相有功646,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsB
11,1000011,B相无功646,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsB
12,1000012,A相有功652,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsA
13,1000013,A相无功652,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsA
14,1000014,A相有功671,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsA
15,1000015,A相无功671,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsA
16,1000016,B相有功671,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsB
17,1000017,B相无功671,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsB
18,1000018,C相有功671,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsC
19,1000019,C相无功671,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsC
20,1000020,A相有功675,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsA
21,1000021,A相无功675,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsA
22,1000022,B相有功675,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsB
23,1000023,B相无功675,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsB
24,1000024,C相有功675,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsC
25,1000025,C相无功675,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsC
26,1000026,C相有功692,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsC
27,1000027,C相无功692,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsC
28,1000028,C相有功611,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsC
29,1000029,C相无功611,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsC
30,1000030,A相有功680,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsA
31,1000031,A相无功680,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsA
32,1000032,B相有功680,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsB
33,1000033,B相无功680,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsB
34,1000034,C相有功680,,FALSE,FALSE,,,,,,kW,999999,-999999,,,TRUE,FALSE,0.0,,PhW_phsC
35,1000035,C相无功680,,FALSE,FALSE,,,,,,kVAr,999999,-999999,,,TRUE,FALSE,0.0,,PhVAr_phsC
