Index,ID,Point ID,Dev ID,Terminal ID,Desc
1,1,1000001,1,650,TOTAL
2,2,1000002,5,634,A
3,3,1000003,5,634,A
4,4,1000004,5,634,B
5,5,1000005,5,634,B
6,6,1000006,5,634,C
7,7,1000007,5,634,C
8,8,1000008,3,645,B
9,9,1000009,3,645,B
10,10,1000010,6,646,B
11,11,1000011,6,646,B
12,12,1000012,8,652,A
13,13,1000013,8,652,A
14,14,1000014,9,671,A
15,15,1000015,9,671,A
16,16,1000016,9,671,B
17,17,1000017,9,671,B
18,18,1000018,9,671,C
19,19,1000019,9,671,C
20,20,1000020,14,675,A
21,21,1000021,14,675,A
22,22,1000022,14,675,B
23,23,1000023,14,675,B
24,24,1000024,14,675,C
25,25,1000025,14,675,C
26,26,1000026,12,692,C
27,27,1000027,12,692,C
28,28,1000028,13,611,C
29,29,1000029,13,611,C
