算例,MATPOWER PF（ms）,TensorEval PF/MUMPS（ms）,MATPOWER runopf（ms）,TensorEval NLP/MKL（ms）,TensorEval脚本OPF
case5,0.558,0.596,36.214,1.814,代码暂未完成
case9,0.731,0.628,38.346,1.586,代码暂未完成
case14,0.683,0.617,27.035,1.566,代码暂未完成
case30,0.845,0.805,72.224,2.998,代码暂未完成
case39,0.607,0.600,49.822,4.056,代码暂未完成
case57,1.031,0.996,12.173,3.146,代码暂未完成
case118,1.283,1.333,25.328,8.123,代码暂未完成
case118zh,1.143,1.142,未收敛,无算例,代码暂未完成
case300,3.634,3.401,64.525,24.154,代码暂未完成
case1354pegase,10.777,9.374,758.171,无算例,代码暂未完成
case2736sp,19.043,17.597,1160.286,无算例,代码暂未完成
case2737sop,23.033,18.091,1140.597,373.963,代码暂未完成
case13659pegase,129.037,123.579,未收敛,56919.209,代码暂未完成
